Title,Review Rating,Review Count,Calories,Servings,Prep Time (mins),Total Time (mins)
Chicken Arroz Caldo (Chicken Rice Porridge),4.8,93,294,5.0,20,40
Chicken Makhani (Indian Butter Chicken),4.5,1386,408,4.0,10,35
Garlic Chicken Fried Chicken,4.6,1311,391,4.0,20,35
Chicken Fried Chicken,4.7,2447,887,6.0,25,45
Chicken Enchiladas with Cream of Chicken Soup,4.6,1516,352,8.0,15,45
Simple Baked Chicken Breasts,4.7,515,191,4.0,10,35
Makhani Chicken (Indian Butter Chicken),4.5,185,492,6.0,60,335
Chef John's Nashville Hot Chicken,4.5,95,1115,4.0,20,180
Crispy Fried Chicken,4.5,799,489,8.0,15,80
Best Chicken Salad,4.7,805,779,2.0,5,10
Juicy Roasted Chicken,4.8,4132,423,6.0,15,120
Chicken Parmesan,4.8,5020,471,4.0,15,45
Baked Chicken Schnitzel,4.5,307,383,6.0,20,30
Rotisserie Chicken,4.7,313,357,6.0,10,90
Quick and Easy Chicken Noodle Soup,4.8,3635,162,6.0,10,40
General Tso's Chicken,4.8,1442,634,6.0,25,50
Baked Teriyaki Chicken,4.7,7850,272,6.0,10,65
Buffalo Chicken Dip,4.8,5139,284,20.0,15,55
Chicken Cordon Bleu,4.6,2724,419,4.0,10,45
Slow Cooker Chicken Tacos,4.7,177,71,8.0,10,370
Chef John's Buttermilk Fried Chicken,4.5,503,1262,4.0,15,410
Southern Fried Chicken,4.7,307,491,4.0,15,80
Broccoli Chicken Casserole,4.2,1010,427,4.0,10,50
Air Fryer Chicken Thighs,4.8,172,213,4.0,10,30
Best Chicken Marinade,4.7,941,549,4.0,5,85
Chicken and Broccoli Stir Fry,4.7,684,343,4.0,15,35
Yummy Honey Chicken Kabobs,4.8,3040,179,12.0,15,150
Chef John's Chicken Kiev,4.9,261,790,4.0,30,110
Homemade Chicken Soup,4.6,323,152,10.0,15,105
Baked Split Chicken Breast,4.7,548,615,2.0,10,100
Oven-Fried Chicken,4.5,1048,310,6.0,15,75
Lemon Chicken Orzo Soup,4.8,511,167,12.0,20,50
King Ranch Chicken Casserole,4.5,604,479,8.0,30,75
Triple-Dipped Fried Chicken,4.4,983,661,6.0,30,45
Old-Fashioned Chicken and Dumplings,4.3,181,400,20.0,15,60
This Marry Me Chicken Soup Is a Bowlful of Pure Love,4.9,250,655,6.0,20,60
Slow Cooker Chicken and Dumplings,4.4,9945,385,8.0,10,310
Chicken Pot Pie,4.8,13547,412,8.0,20,80
